"","BBAS3 ","BBDC3 ","",""
"295","14.14","8.931","1.57467075365274","Fora"
"296","13.65","8.649","1.57467075365274","Fora"
"297","13.51","8.602","1.57467075365274","Fora"
"298","13.8","8.668","1.57467075365274","Fora"
"299","13.64","8.461","1.57467075365274","Fora"
"300","13.5601152800275","8.42497947685939","1.57467075365274","Fora"
"301","13.7186541599329","8.54312690554972","1.57467075365274","Fora"
"302","13.9","8.63","1.57467075365274","Fora"
"303","14.01","8.63","1.57467075365274","Fora"
"304","13.85","8.508","1.57467075365274","Fora"
"305","13.1","8","1.57467075365274","Fora"
"306","13.28","8.113","1.57467075365274","Fora"
"307","13.85","8.273","1.57467075365274","Fora"
"308","13.31","8.268","1.57467075365274","Fora"
"309","13.57","8.414","1.57467075365274","Fora"
"310","13.45","8.179","1.57467075365274","Fora"
"311","14.03","8.649","1.57467075365274","Fora"
"312","14.13","8.649","1.57467075365274","Fora"
"313","14.3","8.809","1.57467075365274","Fora"
"314","14.59","8.832","1.57467075365274","Fora"
"315","14.55","8.814","1.57467075365274","Fora"
"316","14.98","8.842","1.57467075365274","Fora"
"317","15.51","8.983","1.57467075365274","OpenRight"
"318","15.8","8.926","1.57467075365274","OpenRight"
"319","15.5","8.738","1.57467075365274","OpenRight"
"320","16.6","9.213","1.57467075365274","OpenRight"
"321","15.98","8.969","1.57467075365274","OpenRight"
"322","16","8.861","1.57467075365274","OpenRight"
"323","16.53","9.147","1.57467075365274","OpenRight"
"324","17","9.119","1.57467075365274","OpenRight"
"325","16.7","8.931","1.57467075365274","OpenRight"
"326","16.87","9.096","1.57467075365274","OpenRight"
"327","17.76","9.19","1.57467075365274","OpenRight"
"328","18.23","9.448","1.57467075365274","OpenRight"
"329","19.1","9.575","1.57467075365274","OpenRight"
"330","19","9.636","1.57467075365274","OpenRight"
"331","18.89","9.669","1.57467075365274","OpenRight"
"332","17.35","9.73","1.57467075365274","OutRight"
"333","16.86","10.13","1.57467075365274","OpenLeft"
"334","16.7666007455429","10.4078585569405","1.57467075365274","OpenLeft"
"335","16.89","10.13","1.57467075365274","OpenLeft"
"336","17.13","9.871","1.57467075365274","OpenLeft"
"337","17.5","9.796","1.57467075365274","OpenLeft"
"338","18.35","10.13","1.57467075365274","OutLeft"
"339","18.41","10.106","1.57467075365274","Fora"
"340","18","9.768","1.57467075365274","Fora"
"341","17.6497510502954","9.52035482796197","1.57467075365274","Fora"
"342","17.8","9.589","1.57467075365274","Fora"
"343","18.62","10.102","1.57467075365274","Fora"
"344","18.6","10.153","1.57467075365274","Fora"
"345","18.12","9.885","1.57467075365274","Fora"
"346","18.36","10.012","1.57467075365274","Fora"
"347","19.1","10.388","1.57467075365274","Fora"
"348","18.46","10.661","1.57467075365274","OpenLeft"
"349","18.2142147975483","10.7977209678691","1.57467075365274","OpenLeft"
"350","19.34","10.981","1.57467075365274","OpenLeft"
"351","19.55","11.187","1.57467075365274","OpenLeft"
"352","21.06","11.371","1.57467075365274","OutLeft"
"353","20","10.816","1.57467075365274","Fora"
"354","20.33","11.117","1.57467075365274","Fora"
"355","20.37","10.905","1.57467075365274","OpenRight"
"356","19.9","10.717","1.57467075365274","OpenRight"
"357","19.35","10.341","1.57467075365274","OpenRight"
"358","20.2","10.689","1.57467075365274","OpenRight"
"359","19.74","10.553","1.57467075365274","OpenRight"
"360","20.76","10.995","1.57467075365274","OpenRight"
"361","21.05","10.901","1.57467075365274","OpenRight"
"362","20.65","10.952","1.57467075365274","OpenRight"
